Ca,Tr,Ca0,Q
1,300,3.419154033,61.20125307
1.198906958,310.2668941,0.500800624,-54.90762311
1.132610113,301.652314,1.527291236,-113.2392883
1.146200715,283.7790924,1.80382148,-42.89980148
1.173853048,278.6416399,3.27737232,10.78242697
1.337802632,280.628685,3.434361601,51.44986534
1.531478043,289.6399464,1.931165748,105.0326296
1.389378909,306.4596608,0.691713152,47.35208995
1.507172063,313.3653439,3.421133617,16.30273143
1.631189432,314.9147422,1.48270857,-83.86070419
1.463295311,301.4634796,6.105211981,130.0726703
1.733310408,322.3612866,2.693969247,53.42295307
1.828633622,328.9637207,6.634724066,109.6129709
2.122050611,345.0655271,1.09530948,-128.0403482
1.970221599,323.005796,1.688812937,105.0395927
2.02863726,338.9994756,1.188427837,-21.91455036
2.025599739,333.7643939,7.205226711,9.212579896
2.129742216,333.2019776,5.343139798,-51.24566215
2.402795967,323.7120878,5.305506494,92.95158296
2.440871595,338.0305769,0.628017941,69.48453749
2.382012698,347.3872294,7.422027622,68.93490951
2.693687937,356.2078745,2.463107944,80.35537544
2.66653475,366.5349222,1.222582046,-14.47402166
2.61183675,363.4006032,6.860168522,-57.32940782
2.800764572,353.3284442,2.51442737,-102.7698493
2.665620707,334.8877413,0.635568705,49.6765409
2.559335615,340.6585817,1.981396812,-65.12593316
2.452998329,330.8292101,3.941012115,-124.0659696
2.678421415,310.099688,4.518823238,-98.13095927
2.758944995,294.2904462,4.625138758,55.48843778
2.825142018,303.6001613,1.216341002,-23.87333863
2.732185289,300.3081755,5.360801104,-23.83909371
2.893538732,296.2856724,0.849674213,9.971224663
2.799567473,299.0607673,5.146562517,4.135864792
2.95458216,299.127141,7.112163292,24.04306873
3.069767763,303.3573066,6.823813407,-100.7014791
3.214756926,288.1341595,1.474934431,85.38647592
3.227739864,300.24998,3.283737859,-92.9571749
3.251654325,287.4725299,6.992560063,-42.28726456
3.362672777,280.3438467,5.755684722,62.77722318
3.540109583,292.8157174,6.683142638,34.3533936
3.65423636,297.0180731,5.756597038,-41.97268614
3.820493607,291.6782414,2.389495242,109.9684027
3.620208174,309.5817461,3.496638329,129.1222456
3.605069479,327.5020429,5.144090485,33.80436943
3.853387739,333.5396112,1.303221811,124.8581374
3.697682337,352.2820264,3.649384934,21.77489463
3.630257923,354.2362371,3.356957619,-73.04806689
3.640314696,341.3168966,6.823656644,20.46652571
3.613032877,345.2267692,0.520092289,32.54025639
3.537608216,348.0887241,2.786514312,7.516140117
3.467209779,348.3404014,6.701594695,-39.64729206
3.695463422,341.2551926,6.859746056,34.26670157
3.747731285,346.7654051,0.6107487,119.28813
3.479073767,364.7449946,5.336278423,138.1452473
3.602172202,388.5120365,1.706383558,-100.7956332
3.329266188,373.9411755,7.028168241,54.6717159
3.426311005,384.1060417,0.962001209,70.96196473
3.170183236,400.0116881,5.777133319,117.5068248
2.964655741,428.952999,5.48067331,-104.3691856
2.491486346,431.4681563,0.639160937,-131.6080697
2.225790746,421.0071631,0.698145416,-70.49693131
1.863186519,411.4698087,6.520195641,10.78640762
2.041602064,415.9575155,4.369753851,95.00858881
1.968786365,433.1939697,1.369213206,-61.33787185
1.718150531,428.9990268,4.6003149,130.4432739
1.523242857,453.5029944,4.427211535,-133.709097
1.558330792,437.8046508,6.104428709,-74.17381876
1.607628993,428.717244,6.149736369,-31.14982359
1.611007653,424.3541454,6.544792982,68.64490625
1.690825222,437.1449808,4.393681638,-100.9846676
1.783879344,424.4464092,0.919423827,-105.1823818
1.635665167,407.3132557,0.81186315,-109.0294173
1.388845563,388.2417265,2.07996537,59.16361039
1.530088409,395.2427157,4.418018874,-135.4011275
1.522105756,370.0178253,1.003819958,129.7989909
1.601039799,388.3413133,4.476703233,-82.41855252
1.617832954,373.0713744,2.266280212,67.72940933
1.604328423,380.0949953,1.868006368,22.59970383
1.64282713,381.2750591,7.290139924,96.34134145
1.870315328,393.5932834,2.178934314,-1.730635064
1.820445309,392.36149,4.839690029,91.38359052
1.974683815,405.2780957,1.597539763,-133.7288434
1.901839921,383.5017689,0.990155006,-3.793025043
1.735408418,379.8912238,4.744306232,19.12540072
1.909307272,380.8974928,2.721536865,135.7267204
1.81302727,400.4966571,4.558216535,-33.29412138
